#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2017-07-01T02:16:28 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ595703800436	
#INFO	-out.form=mini	
#INFO	-out.max=unlimited	
#INFO	queryParameters=19	
#-oc.form=dec
#-nav=cat:I/239&tab:{I/239/hip_main}&key:source=I/239/hip_main&HTTPPRM:&&-ref=VIZ595703800436&-file=-c&-oc.form=dec&-out.form=hori&-out.add=_1&-c.r=2&-c.geom=r&-order=I&-out=HIP&-out=RAhms&-out=DEdms&-out=Vmag&-out=RA(ICRS)&-out=DE(ICRS)&-out=Plx&-out=B-V&-out=SpType&-ignore=HIPep=*&HIPep=HIPep&Erratum=Erratum&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.max=unlimited&-out.form=Tab-Separated-Values&-c.eq=J2000&-c.u=arcsec&
#-out.add=_1
#-c.r=10
#-c.geom=r
#-source=I/239/hip_main
#-order=I
#-out=HIP
#-out=RAhms
#-out=DEdms
#-out=Vmag
#-out=RA(ICRS)
#-out=DE(ICRS)
#-out=Plx
#-out=B-V
#-out=SpType
#-out.max=unlimited
#-c.eq=J2000
#-c.u=arcsec
#

#RESOURCE=yCat_1239
#Name: I/239
#Title: The Hipparcos and Tycho Catalogues (ESA 1997)
#Coosys	J2000_1991.250:	eq_FK5 J2000
#Table	I_239_hip_main:
#Name: I/239/hip_main
#Title: The Hipparcos Main Catalogue
#Column	_1	(A24)	The original question (from your input file)	[ucd=meta.id]
#Column	HIP	(I6)	Identifier (HIP number) (H1)	[ucd=meta.id;meta.main]
#Column	RAhms	(a11)	Right ascension in h m s, ICRS (J1991.25) (H3)	[ucd=pos.eq.ra;meta.main]
#Column	DEdms	(a11)	Declination in deg ' ", ICRS (J1991.25) (H4)	[ucd=pos.eq.dec;meta.main]
#Column	Vmag	(F5.2)	? Magnitude in Johnson V (H5)	[ucd=phot.mag;em.opt.V]
#Column	RA(ICRS)	(F12.8)	*? alpha, degrees (ICRS, Epoch=J1991.25) (H8)	[ucd=pos.eq.ra]
#Column	DE(ICRS)	(F12.8)	*? delta, degrees (ICRS, Epoch=J1991.25) (H9)	[ucd=pos.eq.dec]
#Column	Plx	(F7.2)	? Trigonometric parallax (H11)	[ucd=pos.parallax.trig]
#Column	B-V	(F6.3)	? Johnson B-V colour (H37)	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	SpType	(a12)	Spectral type (H76)	[ucd=src.spType]
_1	HIP	RAhms	DEdms	Vmag	RA(ICRS)	DE(ICRS)	Plx	B-V	SpType
 	 	 	 	mag	deg	deg	mas	mag	
------------------------	------	-----------	-----------	-----	------------	------------	-------	------	------------
BD +00 0873             	 22532	04 50 55.73	+00 34 35.9	10.13	 72.73222696	  0.57662705	   5.21	 0.540	F8


BD +32 0719             	 19143	04 06 11.29	+32 57 10.4	10.00	 61.54702839	 32.95288368	  27.68	 0.964	K5


BD +51 1696             	 57450	11 46 35.96	+50 52 59.4	 9.91	176.64982912	 50.88317828	  13.61	 0.582	sdG0

BD +58 1199             	 47174	09 36 49.25	+57 54 43.7	 9.99	144.20521918	 57.91214244	  11.04	 0.639	G3V


Cl Melotte 111 111      	 60582	12 25 02.26	+25 33 38.5	 8.12	186.25943505	 25.56068217	   9.34	 0.534	F8...

Cl Melotte 111 114      	 60611	12 25 22.50	+23 13 44.8	 8.57	186.34376546	 23.22911268	   9.51	 0.463	F8V

Cl Melotte 111 118      	 60649	12 25 51.96	+26 46 36.1	 8.34	186.46650316	 26.77669123	  11.39	 0.449	F6V



Cl Melotte 111 53       	 60025	12 18 36.19	+23 07 12.4	 8.69	184.65078580	 23.12010044	  14.54	 0.523	F8...

Cl Melotte 111 58       	 60063	12 19 01.48	+24 50 46.3	 8.79	184.75617171	 24.84618988	  10.62	 0.513	F7Vvar

Cl Melotte 111 65       	 60097	12 19 28.37	+24 17 03.4	 9.02	184.86818910	 24.28427613	  11.88	 0.576	G0V

Cl Melotte 111 76       	 60206	12 20 45.58	+25 45 57.2	 9.05	185.18990832	 25.76588157	  13.61	 0.560	G0V

Cl Melotte 111 85       	 60293	12 21 49.03	+26 32 56.8	 9.31	185.45431132	 26.54911730	  11.43	 0.586	G0...

Cl Melotte 111 86       	 60304	12 21 56.17	+27 18 34.3	 8.51	185.48404806	 27.30953058	  10.76	 0.463	F6V

Cl Melotte 111 90       	 60347	12 22 24.76	+22 27 51.0	 8.53	185.60318223	 22.46416514	  11.47	 0.470	F5...


Cl Melotte 111 97       	 60406	12 23 08.41	+25 51 05.0	 9.10	185.78502888	 25.85139615	  11.86	 0.551	F8V






























Cl Melotte 25 1         	 15304	03 17 26.29	+07 39 21.0	 7.38	 49.35953450	  7.65582608	  20.20	 0.567	F8

Cl Melotte 25 10        	 19148	04 06 16.06	+15 41 53.4	 7.85	 61.56689905	 15.69816786	  21.41	 0.593	G0

Cl Melotte 25 101       	 21474	04 36 40.66	+15 52 09.8	 6.64	 69.16943714	 15.86938453	  22.99	 0.442	F5V

Cl Melotte 25 102       	 21543	04 37 31.93	+15 08 47.4	 7.53	 69.38303886	 15.14649776	  23.54	 0.597	G1V

Cl Melotte 25 105       	 21637	04 38 51.23	+23 09 00.4	 7.51	 69.71343839	 23.15010505	  22.60	 0.576	F5

Cl Melotte 25 11        	 19261	04 07 41.91	+15 09 46.2	 6.02	 61.92460942	 15.16284328	  21.27	 0.397	F3V

Cl Melotte 25 114       	 22265	04 47 37.52	+18 15 31.7	 8.54	 71.90633846	 18.25881521	  19.81	 0.720	G0

Cl Melotte 25 115       	 22350	04 48 42.07	+21 06 04.0	 9.06	 72.17530440	 21.10109968	  19.30	 0.843	G5

Cl Melotte 25 116       	 22380	04 49 03.47	+18 38 28.8	 8.98	 72.26446034	 18.64133790	  21.38	 0.833	F5

Cl Melotte 25 118       	 22422	04 49 32.07	+15 53 19.7	 7.72	 72.38363505	 15.88880540	  19.68	 0.578	F8

Cl Melotte 25 119       	 22496	04 50 23.87	+17 12 09.9	 7.10	 72.59944989	 17.20273764	  22.96	 0.563	F8

Cl Melotte 25 123       	 22565	04 51 22.41	+18 50 23.8	 5.08	 72.84338884	 18.83994085	  17.27	 0.214	A7IV-V

Cl Melotte 25 127       	 23069	04 57 49.46	+14 00 08.0	 8.89	 74.45609880	 14.00223322	  19.66	 0.737	G5

Cl Melotte 25 13        	 19504	04 10 42.29	+18 25 24.0	 6.61	 62.67620064	 18.42332910	  23.22	 0.427	F6V

Cl Melotte 25 15        	 19793	04 14 32.24	+23 34 30.2	 8.05	 63.63432646	 23.57506214	  21.69	 0.657	G3V

Cl Melotte 25 16        	 19789	04 14 30.36	+22 27 07.0	 7.05	 63.62650138	 22.45194749	  18.12	 0.424	F5V

Cl Melotte 25 17        	 19781	04 14 25.59	+14 37 30.3	 8.45	 63.60660991	 14.62508304	  21.91	 0.693	G5V

Cl Melotte 25 18        	 19786	04 14 27.19	+12 26 07.2	 8.05	 63.61327492	 12.43534652	  22.19	 0.640	G0

Cl Melotte 25 180       	 20978	04 29 57.66	+16 40 22.5	 9.08	 67.49026205	 16.67290921	  24.71	 0.865	K1V

Cl Melotte 25 19        	 19796	04 14 34.27	+10 42 05.0	 7.11	 63.64279178	 10.70140049	  21.08	 0.514	F8V

Cl Melotte 25 2         	 15310	03 17 32.68	+07 41 24.6	 7.78	 49.38616926	  7.69017037	  21.64	 0.617	G0

Cl Melotte 25 20        	 19877	04 15 46.21	+15 24 02.7	 6.31	 63.94256020	 15.40074874	  22.51	 0.400	F5Vvar

Cl Melotte 25 21        	 19934	04 16 33.41	+21 54 27.2	 9.14	 64.13921642	 21.90756081	  19.48	 0.813	K0V

Cl Melotte 25 22        	 20019	04 17 38.87	+16 56 52.5	 8.32	 64.41196917	 16.94791093	  21.40	 0.756	G8V

Cl Melotte 25 23        	 20056	04 18 01.77	+18 15 24.8	 7.53	 64.50736633	 18.25688078	  21.84	 0.681	G5V

Cl Melotte 25 24        	 20087	04 18 23.14	+21 34 45.8	 5.64	 64.59642362	 21.57937928	  18.25	 0.277	F0V

Cl Melotte 25 25        	 20082	04 18 19.20	+16 05 18.2	 9.57	 64.57999804	 16.08838854	  20.01	 0.980	K3V

Cl Melotte 25 26        	 20130	04 18 57.90	+19 54 24.4	 8.62	 64.74126891	 19.90678965	  23.53	 0.745	G9V

Cl Melotte 25 27        	 20146	04 19 07.94	+17 31 29.4	 8.47	 64.78307834	 17.52482183	  21.24	 0.721	G8V

Cl Melotte 25 28        	 20205	04 19 47.53	+15 37 39.7	 3.65	 64.94805793	 15.62770031	  21.17	 0.981	G8III

Cl Melotte 25 29        	 20215	04 19 54.78	+16 31 21.6	 6.85	 64.97826903	 16.52267742	  23.27	 0.509	F7V+...

Cl Melotte 25 3         	 16329	03 30 30.33	+20 06 12.3	 8.29	 52.62638571	 20.10341671	  21.61	 0.739	G5

Cl Melotte 25 31        	 20237	04 20 12.90	+19 14 00.8	 7.46	 65.05373248	 19.23356253	  22.27	 0.560	G0V

Cl Melotte 25 32        	 20255	04 20 25.04	+18 44 33.8	 6.11	 65.10431578	 18.74272543	  21.12	 0.404	F3:V...

Cl Melotte 25 33        	 20261	04 20 36.24	+15 05 43.8	 5.26	 65.15101968	 15.09550358	  21.20	 0.225	F0V

Cl Melotte 25 35        	 20349	04 21 31.58	+21 02 23.9	 6.79	 65.38159824	 21.03996454	  19.55	 0.434	F5V

Cl Melotte 25 36        	 20350	04 21 32.20	+18 25 03.6	 6.80	 65.38416813	 18.41765943	  19.83	 0.441	F6V

Cl Melotte 25 37        	 20357	04 21 34.73	+14 24 35.4	 6.60	 65.39471702	 14.40983562	  19.46	 0.412	F5V

Cl Melotte 25 38        	 20400	04 22 03.45	+14 04 38.1	 5.72	 65.51437351	 14.07725051	  21.87	 0.315	A3m

Cl Melotte 25 4         	 16529	03 32 49.98	+23 41 32.2	 8.88	 53.20823163	 23.69228308	  22.78	 0.844	G5

Cl Melotte 25 41        	 20455	04 22 56.03	+17 32 33.3	 3.77	 65.73344722	 17.54258430	  21.29	 0.983	G8III

Cl Melotte 25 42        	 20480	04 23 22.27	+21 22 45.1	 8.84	 65.84278238	 21.37919012	  20.63	 0.758	G9V

Cl Melotte 25 43        	 20482	04 23 22.79	+19 39 31.5	 9.39	 65.84495355	 19.65875512	  15.82	 0.908	K2V

Cl Melotte 25 44        	 20491	04 23 30.34	+24 24 19.8	 7.18	 65.87642041	 24.40551168	  20.04	 0.462	F5

Cl Melotte 25 46        	 20492	04 23 32.27	+14 40 13.9	 9.11	 65.88444721	 14.67052187	  21.23	 0.855	K1V

Cl Melotte 25 47        	 20542	04 24 05.69	+17 26 39.2	 4.80	 66.02372401	 17.44421161	  22.36	 0.154	A7V

Cl Melotte 25 48        	 20557	04 24 14.50	+21 44 10.9	 7.13	 66.06041707	 21.73635708	  24.47	 0.518	F8V


Cl Melotte 25 5         	 16908	03 37 34.89	+21 20 35.7	 9.35	 54.39535518	 21.34324066	  25.23	 0.917	G5

Cl Melotte 25 50        	 20553	04 24 12.40	+14 45 29.8	 7.58	 66.05165805	 14.75828842	  22.25	 0.604	G1V

Cl Melotte 25 51        	 20567	04 24 22.21	+17 04 44.5	 6.96	 66.09255092	 17.07901927	  18.74	 0.450	F6V

Cl Melotte 25 52        	 20577	04 24 28.26	+16 53 10.4	 7.79	 66.11773850	 16.88622603	  20.73	 0.599	G2V

Cl Melotte 25 57        	 20661	04 25 37.25	+15 56 27.9	 6.44	 66.40522319	 15.94108006	  21.47	 0.509	F7V

Cl Melotte 25 58        	 20686	04 25 51.66	+18 51 50.9	 8.07	 66.46524697	 18.86414516	  23.08	 0.680	G5V


Cl Melotte 25 6         	 18170	03 53 09.96	+17 19 37.8	 5.97	 58.29149356	 17.32715595	  24.14	 0.354	F4V

Cl Melotte 25 61        	 20693	04 25 57.28	+05 09 00.5	 7.36	 66.48867647	  5.15013362	  22.03	 0.509	F5

Cl Melotte 25 63        	 20719	04 26 24.54	+16 51 12.1	 8.04	 66.60227009	 16.85336496	  21.76	 0.651	G1V

Cl Melotte 25 64        	 20741	04 26 40.05	+16 44 49.1	 8.10	 66.66689131	 16.74696616	  21.42	 0.664	G8V

Cl Melotte 25 65        	 20815	04 27 35.83	+15 35 21.3	 7.41	 66.89928112	 15.58924926	  21.83	 0.537	F8V

Cl Melotte 25 66        	 20826	04 27 46.01	+11 44 11.2	 7.49	 66.94170443	 11.73644954	  21.18	 0.560	F8

