#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2017-07-01T03:26:24 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ595715f620d8	
#INFO	-out.form=mini	
#INFO	-out.max=unlimited	
#INFO	queryParameters=19	
#-oc.form=dec
#-nav=cat:I/239&tab:{I/239/hip_main}&key:source=I/239/hip_main&HTTPPRM:&&-ref=VIZ595715f620d8&-oc.form=sexa&-c.r=  2&-c.geom=r&-order=I&-out=HIP&-out=RAhms&-out=DEdms&-out=Vmag&-out=RA(ICRS)&-out=DE(ICRS)&-out=Plx&-out=pmRA&-out=pmDE&-out=e_Plx&-out=B-V&-out=Notes&-ignore=HIPep=*&HIPep=HIPep&Erratum=Erratum&-file=-c&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.max=50&-out.form=HTML Table&-c.eq=J2000&-c.u=arcmin&
#-out.add=_1
#-c.r=10
#-c.geom=r
#-source=I/239/hip_main
#-order=I
#-out=HIP
#-out=RAhms
#-out=DEdms
#-out=Vmag
#-out=RA(ICRS)
#-out=DE(ICRS)
#-out=Plx
#-out=B-V
#-out=SpType
#-out.max=unlimited
#-c.eq=J2000
#-c.u=arcsec
#

#RESOURCE=yCat_1239
#Name: I/239
#Title: The Hipparcos and Tycho Catalogues (ESA 1997)
#Coosys	J2000_1991.250:	eq_FK5 J2000
#Table	I_239_hip_main:
#Name: I/239/hip_main
#Title: The Hipparcos Main Catalogue
#Column	_1	(A24)	The original question (from your input file)	[ucd=meta.id]
#Column	HIP	(I6)	Identifier (HIP number) (H1)	[ucd=meta.id;meta.main]
#Column	RAhms	(a11)	Right ascension in h m s, ICRS (J1991.25) (H3)	[ucd=pos.eq.ra;meta.main]
#Column	DEdms	(a11)	Declination in deg ' ", ICRS (J1991.25) (H4)	[ucd=pos.eq.dec;meta.main]
#Column	Vmag	(F5.2)	? Magnitude in Johnson V (H5)	[ucd=phot.mag;em.opt.V]
#Column	RA(ICRS)	(F12.8)	*? alpha, degrees (ICRS, Epoch=J1991.25) (H8)	[ucd=pos.eq.ra]
#Column	DE(ICRS)	(F12.8)	*? delta, degrees (ICRS, Epoch=J1991.25) (H9)	[ucd=pos.eq.dec]
#Column	Plx	(F7.2)	? Trigonometric parallax (H11)	[ucd=pos.parallax.trig]
#Column	B-V	(F6.3)	? Johnson B-V colour (H37)	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	SpType	(a12)	Spectral type (H76)	[ucd=src.spType]
_1	HIP	RAhms	DEdms	Vmag	RA(ICRS)	DE(ICRS)	Plx	B-V	SpType
 	 	 	 	mag	deg	deg	mas	mag	
------------------------	------	-----------	-----------	-----	------------	------------	-------	------	------------
GJ 4B                   	   473	00 05 40.28	+45 48 44.8	 8.20	  1.41782275	 45.81245496	  85.10	 1.410	K2

GJ 561.1B               	 72197	14 46 00.18	-25 26 34.5	 5.15	221.50074084	-25.44291557	  32.86	 0.315	F0V + G/K





HIP 100363              	100363	20 21 15.28	+28 06 26.0	 8.50	305.31366650	 28.10723499	  14.02	 0.683	G4IV


HIP 100963              	100963	20 28 11.83	+22 07 46.5	 7.09	307.04929063	 22.12958535	  35.41	 0.642	G5

HIP 100970              	100970	20 28 18.42	+18 46 10.7	 6.87	307.07675395	 18.76963484	  26.77	 0.662	G3IV-V

HIP 101180              	101180	20 30 31.42	+65 26 55.9	10.54	307.63092880	 65.44886952	 125.62	 1.542	M3

HIP 101345              	101345	20 32 23.51	-09 51 13.1	 5.66	308.09797300	 -9.85364143	  41.26	 0.689	G3V

HIP 101597              	101597	20 35 26.18	+11 21 22.4	 8.50	308.85908133	 11.35622337	  26.08	 0.759	G5

HIP 10175               	 10175	02 10 52.01	+13 41 00.4	 7.63	 32.71671610	 13.68345373	  20.41	 0.704	G5+...

HIP 101875              	101875	20 38 40.04	+38 38 08.0	 6.76	309.66683330	 38.63556258	  37.12	 0.610	G0

HIP 101997              	101997	20 40 11.44	-23 46 30.0	 6.36	310.04765218	-23.77498736	  68.28	 0.719	G8/K0V

HIP 102040              	102040	20 40 45.07	+19 56 05.2	 6.43	310.18777967	 19.93477741	  47.65	 0.611	G5V

HIP 10218               	 10218	02 11 22.98	+21 22 38.6	 7.33	 32.84573402	 21.37737657	  30.76	 0.677	G5V

HIP 102264              	102264	20 43 16.03	-29 25 24.3	 6.95	310.81678113	-29.42340416	  44.57	 0.671	G3/G5V

HIP 102401              	102401	20 45 03.74	+44 29 54.3	10.79	311.26560137	 44.49840983	  80.01	 1.491	M3

HIP 102486              	102486	20 46 09.63	-21 44 42.4	 7.82	311.54010857	-21.74511345	  30.10	 0.914	K1V


HIP 102791              	102791	20 49 29.08	+71 46 28.4	 8.23	312.37117575	 71.77454365	  28.61	 0.767	G5

HIP 102970              	102970	20 51 44.05	+74 46 44.1	 7.81	312.93354182	 74.77892856	  33.80	 0.685	G8V

HIP 10303               	 10303	02 12 46.43	-02 23 46.2	 7.56	 33.19343881	 -2.39616794	   8.04	 0.716	G4

HIP 103039              	103039	20 52 33.20	-16 58 29.3	11.41	313.13835215	-16.97481280	 182.15	 1.653	

HIP 103077              	103077	20 53 05.57	-11 34 25.5	 6.38	313.27321911	-11.57376168	  22.17	 0.661	G1V

HIP 103096              	103096	20 53 19.79	+62 09 22.6	 8.55	313.33245263	 62.15627228	 141.95	 1.483	M2V

HIP 10321               	 10321	02 12 54.96	+40 40 07.0	 7.19	 33.22900055	 40.66860420	  38.12	 0.672	G0

HIP 103256              	103256	20 55 06.53	+13 10 33.1	 8.82	313.77721400	 13.17584752	  44.04	 1.054	K3V

HIP 103269              	103269	20 55 16.71	+42 18 04.1	10.28	313.81963144	 42.30113633	  14.24	 0.590	G5

HIP 103682              	103682	21 00 33.81	-04 43 47.7	 6.21	315.14088420	 -4.72992404	  37.80	 0.635	G1V

HIP 103735              	103735	21 01 13.49	-35 11 02.2	 7.68	315.30620944	-35.18395422	  22.18	 0.620	G3V

HIP 103983              	103983	21 04 05.74	+03 58 51.8	 8.39	316.02390023	  3.98105702	  15.70	 0.650	G5

HIP 104071              	104071	21 05 04.95	-32 49 34.2	 7.72	316.27061232	-32.82615395	  18.15	 0.606	G0V

HIP 104075              	104075	21 05 07.95	+07 56 44.4	 7.97	316.28311671	  7.94565595	  22.57	 0.654	G5

HIP 104092              	104092	21 05 19.70	+07 04 14.4	 8.27	316.33208234	  7.07066797	  67.38	 1.119	K5

HIP 104239              	104239	21 07 10.15	-13 55 22.1	 7.12	316.79229538	-13.92281646	  56.67	 0.901	K1V

HIP 104318              	104318	21 07 56.41	+07 25 58.7	 8.01	316.98503793	  7.43297030	  27.86	 0.692	G5

HIP 104367              	104367	21 08 36.89	-21 40 58.8	 7.89	317.15372050	-21.68301039	  10.95	 0.511	F8/G0V

HIP 10449               	 10449	02 14 39.72	-01 12 04.4	 9.08	 33.66549249	 -1.20122826	  16.17	 0.582	G1V

HIP 104587              	104587	21 11 11.05	+45 27 23.9	 7.83	317.79605824	 45.45663927	  32.68	 0.780	G8IV

HIP 104809              	104809	21 14 01.65	-29 39 48.4	 7.38	318.50685518	-29.66343267	  33.63	 0.689	G3/G5V

HIP 10492               	 10492	02 15 16.16	-23 16 53.1	 8.07	 33.81735061	-23.28140736	  23.06	 0.737	G6IV

HIP 105000              	105000	21 15 57.22	+25 26 02.1	 6.99	318.98839702	 25.43392748	   5.50	 0.887	G5V:

HIP 105038              	105038	21 16 32.38	+09 23 38.8	 7.88	319.13491990	  9.39411501	  61.83	 1.020	K2

HIP 105152              	105152	21 18 02.70	+00 09 43.3	 8.15	319.51125500	  0.16203347	  52.03	 0.990	K2

HIP 105232              	105232	21 18 58.13	+26 13 49.9	 8.45	319.74221892	 26.23052250	  24.48	 0.750	G8V

HIP 105388              	105388	21 20 49.93	-53 02 02.3	 8.65	320.20803012	-53.03397741	  21.81	 0.690	G5V

HIP 105918              	105918	21 27 06.66	+16 07 27.8	 6.72	321.77775816	 16.12438738	  29.56	 0.529	F8V

HIP 10599               	 10599	02 16 27.60	+12 22 49.1	 7.99	 34.11498914	 12.38029867	  29.35	 0.790	G5

HIP 106147              	106147	21 30 02.15	-12 30 34.0	 9.11	322.50894501	-12.50943675	  55.38	 1.261	K4/K5V

HIP 10626               	 10626	02 16 47.30	+43 46 24.4	 7.61	 34.19708067	 43.77344263	  21.97	 0.642	G0


HIP 106913              	106913	21 39 09.90	-27 18 22.9	 6.75	324.79124450	-27.30636802	  39.13	 0.623	G2V

HIP 106924              	106924	21 39 16.60	+60 16 59.8	10.36	324.81916516	 60.28326733	  15.20	 0.551	G1

HIP 107070              	107070	21 41 05.97	+26 45 03.2	 7.45	325.27488546	 26.75088747	  37.19	 0.686	G8V

HIP 107107              	107107	21 41 43.68	+06 25 15.0	 8.27	325.43200845	  6.42083178	  18.23	 0.720	G5

HIP 107821              	107821	21 50 36.25	+28 46 02.0	 7.97	327.65105301	 28.76722436	  20.27	 0.737	G5V

HIP 107840              	107840	21 50 51.77	+32 40 17.2	 8.31	327.71568949	 32.67145624	   2.68	 1.062	K0

HIP 107941              	107941	21 52 06.58	+01 54 24.8	 8.19	328.02740852	  1.90688421	  31.97	 0.880	K2

HIP 10798               	 10798	02 18 58.65	-25 56 48.4	 6.33	 34.74435827	-25.94676773	  78.88	 0.724	G8V

HIP 108296              	108296	21 56 23.98	+21 14 23.4	 6.39	329.09993076	 21.23982286	   2.84	 1.698	K5V

HIP 108506              	108506	21 58 54.99	-04 22 21.0	 6.24	329.72910838	 -4.37249443	  27.77	 0.971	K2V

HIP 108774              	108774	22 02 05.36	+44 20 35.1	 7.96	330.52232491	 44.34309517	  29.79	 0.693	G5

HIP 108782              	108782	22 02 10.54	+01 24 03.3	 9.17	330.54391282	  1.40090869	  96.98	 1.453	M0

HIP 108809              	108809	22 02 32.98	-32 08 01.7	 6.63	330.63740680	-32.13380356	  33.25	 0.504	F6/F7V

HIP 108859              	108859	22 03 10.75	+18 53 03.7	 7.65	330.79481049	 18.88436326	  21.24	 0.594	F8

HIP 109144              	109144	22 06 32.97	+01 51 24.0	 7.24	331.63738634	  1.85667186	  19.77	 0.537	F8

HIP 109169              	109169	22 06 48.43	+85 24 33.1	 8.10	331.70177461	 85.40918479	  14.11	 0.735	G5

HIP 109355              	109355	22 09 15.60	+13 40 15.9	 8.63	332.31501631	 13.67107417	  17.89	 0.670	G5

HIP 109378              	109378	22 09 29.82	-07 32 51.2	 6.54	332.37423100	 -7.54756077	  46.97	 0.773	G0

HIP 109388              	109388	22 09 39.68	-04 38 26.5	10.41	332.41534076	 -4.64068104	 113.97	 1.531	M3

HIP 109422              	109422	22 10 08.48	-32 32 54.4	 4.94	332.53534803	-32.54844042	  53.36	 0.489	F6V

HIP 109428              	109428	22 10 11.97	-04 55 43.7	 8.73	332.54986486	 -4.92880257	  11.05	 0.702	G0

HIP 109439              	109439	22 10 18.96	+19 36 59.6	 6.18	332.57901866	 19.61656699	  18.01	 0.688	G0V

HIP 109527              	109527	22 11 11.89	+36 15 25.0	 7.23	332.79956227	 36.25693789	  44.57	 0.812	K0

HIP 109555              	109555	22 11 29.89	+18 25 32.7	10.25	332.87454924	 18.42575716	  87.42	 1.465	M2

HIP 109822              	109822	22 14 38.22	-15 49 03.6	 6.55	333.65926191	-15.81766487	  26.19	 0.890	K0/K1V

HIP 109836              	109836	22 14 46.78	-05 53 10.6	 7.82	333.69490579	 -5.88628232	  12.29	 0.756	G0

HIP 11048               	 11048	02 22 14.46	+47 52 47.7	 9.40	 35.56023207	 47.87992925	  83.93	 1.466	M2

HIP 110508              	110508	22 23 08.99	+09 27 39.6	 7.91	335.78747301	  9.46099598	  30.84	 0.682	G5

HIP 11072               	 11072	02 22 32.42	-23 48 58.7	 5.19	 35.63508730	-23.81631542	  45.60	 0.608	G2V

HIP 110853              	110853	22 27 31.13	-31 33 14.9	 7.68	336.87970022	-31.55412898	  12.64	 0.810	G6V

HIP 110893              	110893	22 28 00.42	+57 41 49.3	 9.59	337.00174003	 57.69702005	 249.52	 1.613	M2V

HIP 110996              	110996	22 29 15.09	-30 00 59.2	 7.65	337.31286507	-30.01643212	  64.74	 1.080	K4V

HIP 111136              	111136	22 30 50.14	+40 43 19.1	 8.17	337.70891653	 40.72195942	  15.54	 0.700	G5

HIP 111148              	111148	22 31 05.87	+45 08 42.0	 7.68	337.77446029	 45.14501181	  23.14	 0.649	G5

HIP 111349              	111349	22 33 30.45	-35 26 39.2	 7.80	338.37686990	-35.44421068	  31.25	 0.721	G5V

